**********
Day 1:
**********

12:00 PM:  CANDYCE FERET arrived at FSC Chick-fil-A and entered Order Line 1.
12:50 PM:  RENATE ETTMAN is at the front of Order Line 1 and is now placing order.
12:50 PM:  SAMMIE KOCHLER received all items, paid $6.48, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:50 PM:  ROSALYN DOLPHIN received all items, paid $9.15, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:51 PM:  LUDIE CRANER is at the front of Order Line 2 and is now placing order.
12:51 PM:  HECTOR STEENBURG is at the front of Order Line 3 and is now placing order.
12:51 PM:  CYRSTAL PILGER arrived at FSC Chick-fil-A and entered Order Line 1.
12:51 PM:  WINIFRED DOVEY arrived at FSC Chick-fil-A and entered Order Line 2.
12:52 PM:  RENATE ETTMAN received all items, paid $34.35, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:53 PM:  CYRSTAL PILGER is at the front of Order Line 1 and is now placing order.
12:54 PM:  HECTOR STEENBURG received all items, paid $20.11, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:54 PM:  MARINE MALDEN arrived at FSC Chick-fil-A and entered Order Line 3.
12:55 PM:  CYRSTAL PILGER received all items, paid $42.61, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:55 PM:  MARINE MALDEN is at the front of Order Line 3 and is now placing order.
12:56 PM:  LUDIE CRANER received all items, paid $26.82, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:56 PM:  MARINE MALDEN received all items, paid $34.36, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:56 PM:  SHELLY STASSEN arrived at FSC Chick-fil-A and entered Order Line 1.
12:57 PM:  SHELLY STASSEN is at the front of Order Line 1 and is now placing order.
12:57 PM:  WINIFRED DOVEY is at the front of Order Line 2 and is now placing order.
12:58 PM:  WINIFRED DOVEY received all items, paid $5.50, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:58 PM:  LEOPOLDO KARMEL arrived at FSC Chick-fil-A and entered Order Line 2.
12:59 PM:  LEOPOLDO KARMEL is at the front of Order Line 2 and is now placing order.
12:59 PM:  BRYNN DAVIES arrived at FSC Chick-fil-A and entered Order Line 3.
12:59 PM:  LAVELLE SHERRIN arrived at FSC Chick-fil-A and entered Order Line 1.
12:59 PM:  AYESHA GENG arrived at FSC Chick-fil-A and entered Order Line 2.
 1:00 PM:  SHELLY STASSEN received all items, paid $44.30, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:00 PM:  BRYNN DAVIES is at the front of Order Line 3 and is now placing order.
 1:01 PM:  LAVELLE SHERRIN is at the front of Order Line 1 and is now placing order.
 1:01 PM:  PAM CARPINO arrived at FSC Chick-fil-A and entered Order Line 1.
 1:02 PM:  LAVELLE SHERRIN received all items, paid $9.15, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:02 PM:  LEOPOLDO KARMEL received all items, paid $40.55, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:02 PM:  BRYNN DAVIES received all items, paid $37.65, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:03 PM:  PAM CARPINO is at the front of Order Line 1 and is now placing order.
 1:03 PM:  AYESHA GENG is at the front of Order Line 2 and is now placing order.
 1:03 PM:  RON BAILLET arrived at FSC Chick-fil-A and entered Order Line 3.
 1:04 PM:  RON BAILLET is at the front of Order Line 3 and is now placing order.
 1:06 PM:  JAN PIERMARINI arrived at FSC Chick-fil-A and entered Order Line 1.
 1:07 PM:  PAM CARPINO received all items, paid $49.92, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:08 PM:  JAN PIERMARINI is at the front of Order Line 1 and is now placing order.
 1:08 PM:  AYESHA GENG received all items, paid $42.64, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:08 PM:  WYNONA BRAULT arrived at FSC Chick-fil-A and entered Order Line 2.
 1:09 PM:  WYNONA BRAULT is at the front of Order Line 2 and is now placing order.
 1:09 PM:  RON BAILLET received all items, paid $42.90, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:11 PM:  JENEVA WODSKOW arrived at FSC Chick-fil-A and entered Order Line 3.
 1:12 PM:  JENEVA WODSKOW is at the front of Order Line 3 and is now placing order.
 1:12 PM:  TOMMIE PALLA arrived at FSC Chick-fil-A and entered Order Line 1.
 1:12 PM:  KARLY POLLART arrived at FSC Chick-fil-A and entered Order Line 2.
 1:13 PM:  JAN PIERMARINI received all items, paid $53.18, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:13 PM:  WYNONA BRAULT received all items, paid $32.80, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:13 PM:  CINTHIA CESSOR arrived at FSC Chick-fil-A and entered Order Line 1.
 1:13 PM:  ISAURA MCCLOUR arrived at FSC Chick-fil-A and entered Order Line 2.
 1:13 PM:  DONA YEARSLEY arrived at FSC Chick-fil-A and entered Order Line 3.
 1:14 PM:  TOMMIE PALLA is at the front of Order Line 1 and is now placing order.
 1:14 PM:  KARLY POLLART is at the front of Order Line 2 and is now placing order.
 1:14 PM:  BERNARDO PLOSS arrived at FSC Chick-fil-A and entered Order Line 1.
 1:15 PM:  JENEVA WODSKOW received all items, paid $15.14, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:15 PM:  GEORGE LOGEL arrived at FSC Chick-fil-A and entered Order Line 3.
 1:16 PM:  TOMMIE PALLA received all items, paid $17.55, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:16 PM:  KARLY POLLART received all items, paid $12.95, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:16 PM:  DONA YEARSLEY is at the front of Order Line 3 and is now placing order.
 1:17 PM:  CINTHIA CESSOR is at the front of Order Line 1 and is now placing order.
 1:17 PM:  ISAURA MCCLOUR is at the front of Order Line 2 and is now placing order.
 1:18 PM:  ISAURA MCCLOUR received all items, paid $2.75, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:18 PM:  ELLIS KABOOS arrived at FSC Chick-fil-A and entered Order Line 2.
 1:19 PM:  CINTHIA CESSOR received all items, paid $21.35, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:19 PM:  ELLIS KABOOS is at the front of Order Line 2 and is now placing order.
 1:19 PM:  WILLA TALLACKSEN arrived at FSC Chick-fil-A and entered Order Line 1.
 1:20 PM:  BERNARDO PLOSS is at the front of Order Line 1 and is now placing order.
 1:20 PM:  DONA YEARSLEY received all items, paid $27.94, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:20 PM:  LENNA WRUBEL arrived at FSC Chick-fil-A and entered Order Line 2.
 1:20 PM:  LUETTA LOVEBERRY arrived at FSC Chick-fil-A and entered Order Line 3.
 1:20 PM:  VERA ORTELT arrived at FSC Chick-fil-A and entered Order Line 1.
 1:20 PM:  DIMPLE ROFFE arrived at FSC Chick-fil-A and entered Order Line 2.
 1:21 PM:  GEORGE LOGEL is at the front of Order Line 3 and is now placing order.
 1:21 PM:  SHANTI MAUREY arrived at FSC Chick-fil-A and entered Order Line 3.
 1:23 PM:  MARISA KNAUST arrived at FSC Chick-fil-A and entered Order Line 1.
 1:24 PM:  ELLIS KABOOS received all items, paid $30.10, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:25 PM:  BERNARDO PLOSS received all items, paid $43.12, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:25 PM:  LENNA WRUBEL is at the front of Order Line 2 and is now placing order.
 1:26 PM:  WILLA TALLACKSEN is at the front of Order Line 1 and is now placing order.
 1:26 PM:  GEORGE LOGEL received all items, paid $39.30, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:26 PM:  KRYSTEN CHRISTMAS arrived at FSC Chick-fil-A and entered Order Line 2.
 1:27 PM:  WILLA TALLACKSEN received all items, paid $9.45, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:27 PM:  LENNA WRUBEL received all items, paid $12.55, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:27 PM:  LUETTA LOVEBERRY is at the front of Order Line 3 and is now placing order.
 1:28 PM:  VERA ORTELT is at the front of Order Line 1 and is now placing order.
 1:28 PM:  DIMPLE ROFFE is at the front of Order Line 2 and is now placing order.
 1:29 PM:  VERA ORTELT received all items, paid $13.58, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:29 PM:  JA SHORKEY arrived at FSC Chick-fil-A and entered Order Line 1.
 1:29 PM:  ROSEMARIE MISCH arrived at FSC Chick-fil-A and entered Order Line 1.
 1:30 PM:  MARISA KNAUST is at the front of Order Line 1 and is now placing order.
 1:31 PM:  DIMPLE ROFFE received all items, paid $19.62, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:31 PM:  LUETTA LOVEBERRY received all items, paid $10.49, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:32 PM:  MARISA KNAUST received all items, paid $22.80, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:32 PM:  KRYSTEN CHRISTMAS is at the front of Order Line 2 and is now placing order.
 1:32 PM:  SHANTI MAUREY is at the front of Order Line 3 and is now placing order.
 1:32 PM:  NIKOLE MODIC arrived at FSC Chick-fil-A and entered Order Line 2.
 1:33 PM:  JA SHORKEY is at the front of Order Line 1 and is now placing order.
 1:34 PM:  SHANTI MAUREY received all items, paid $15.49, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:34 PM:  CLYDE PUTALAVAGE arrived at FSC Chick-fil-A and entered Order Line 3.
 1:35 PM:  CLYDE PUTALAVAGE is at the front of Order Line 3 and is now placing order.
 1:35 PM:  EUN MAIER arrived at FSC Chick-fil-A and entered Order Line 3.
 1:35 PM:  KATE METENOSKY arrived at FSC Chick-fil-A and entered Order Line 1.
 1:35 PM:  MARNA SCHWEICKERT arrived at FSC Chick-fil-A and entered Order Line 2.
 1:36 PM:  NADA SCHNIEDER arrived at FSC Chick-fil-A and entered Order Line 3.
 1:36 PM:  CECILY POSSICK arrived at FSC Chick-fil-A and entered Order Line 1.
 1:36 PM:  VIRGEN AWAD arrived at FSC Chick-fil-A and entered Order Line 2.
 1:37 PM:  KRYSTEN CHRISTMAS received all items, paid $44.23, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:38 PM:  JA SHORKEY received all items, paid $44.74, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:38 PM:  NIKOLE MODIC is at the front of Order Line 2 and is now placing order.
 1:38 PM:  CLYDE PUTALAVAGE received all items, paid $12.13, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:39 PM:  ROSEMARIE MISCH is at the front of Order Line 1 and is now placing order.
 1:39 PM:  EUN MAIER is at the front of Order Line 3 and is now placing order.
 1:39 PM:  CHERRYL FLEMINGS arrived at FSC Chick-fil-A and entered Order Line 3.
 1:40 PM:  NIKOLE MODIC received all items, paid $15.65, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:41 PM:  MARNA SCHWEICKERT is at the front of Order Line 2 and is now placing order.
 1:42 PM:  EUN MAIER received all items, paid $9.82, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:42 PM:  MOHAMMAD BULGRIN arrived at FSC Chick-fil-A and entered Order Line 2.
 1:43 PM:  ROSEMARIE MISCH received all items, paid $36.76, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:43 PM:  MARNA SCHWEICKERT received all items, paid $30.97, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:43 PM:  NADA SCHNIEDER is at the front of Order Line 3 and is now placing order.
 1:44 PM:  KATE METENOSKY is at the front of Order Line 1 and is now placing order.
 1:44 PM:  VIRGEN AWAD is at the front of Order Line 2 and is now placing order.
 1:44 PM:  LURA DOMINION arrived at FSC Chick-fil-A and entered Order Line 1.
 1:45 PM:  VIRGEN AWAD received all items, paid $6.36, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:45 PM:  IRISH ORLIN arrived at FSC Chick-fil-A and entered Order Line 2.
 1:46 PM:  MOHAMMAD BULGRIN is at the front of Order Line 2 and is now placing order.
 1:46 PM:  NADA SCHNIEDER received all items, paid $18.30, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:47 PM:  CHERRYL FLEMINGS is at the front of Order Line 3 and is now placing order.
 1:47 PM:  COREY TEDESKO arrived at FSC Chick-fil-A and entered Order Line 3.
 1:48 PM:  KATE METENOSKY received all items, paid $48.71, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:49 PM:  CECILY POSSICK is at the front of Order Line 1 and is now placing order.
 1:49 PM:  DIONE DZIEDZIC arrived at FSC Chick-fil-A and entered Order Line 1.
 1:50 PM:  CECILY POSSICK received all items, paid $23.80, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:50 PM:  CHERRYL FLEMINGS received all items, paid $12.54, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:50 PM:  JASPER BERNOS arrived at FSC Chick-fil-A and entered Order Line 3.
 1:51 PM:  LURA DOMINION is at the front of Order Line 1 and is now placing order.
 1:51 PM:  MOHAMMAD BULGRIN received all items, paid $43.47, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:51 PM:  COREY TEDESKO is at the front of Order Line 3 and is now placing order.
 1:52 PM:  IRISH ORLIN is at the front of Order Line 2 and is now placing order.
 1:52 PM:  COREY TEDESKO received all items, paid $3.05, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:52 PM:  JASMINE REMICK arrived at FSC Chick-fil-A and entered Order Line 2.
 1:53 PM:  LURA DOMINION received all items, paid $15.65, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:53 PM:  IRISH ORLIN received all items, paid $21.57, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:53 PM:  JASPER BERNOS is at the front of Order Line 3 and is now placing order.
 1:53 PM:  ANDREW BUCHANAN arrived at FSC Chick-fil-A and entered Order Line 1.
 1:54 PM:  DIONE DZIEDZIC is at the front of Order Line 1 and is now placing order.
 1:54 PM:  JASMINE REMICK is at the front of Order Line 2 and is now placing order.
 1:54 PM:  RODERICK OBERDORF arrived at FSC Chick-fil-A and entered Order Line 2.
 1:56 PM:  JASMINE REMICK received all items, paid $14.93, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 1:57 PM:  RODERICK OBERDORF is at the front of Order Line 2 and is now placing order.
 1:57 PM:  JASPER BERNOS received all items, paid $29.60, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 1:57 PM:  BERNARDINE SUMEY arrived at FSC Chick-fil-A and entered Order Line 3.
 1:57 PM:  PATIENCE DACUNHA arrived at FSC Chick-fil-A and entered Order Line 2.
 1:58 PM:  DIONE DZIEDZIC received all items, paid $22.95, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 1:58 PM:  BERNARDINE SUMEY is at the front of Order Line 3 and is now placing order.
 1:58 PM:  BUNNY VANTUYLE arrived at FSC Chick-fil-A and entered Order Line 1.
 1:59 PM:  ANDREW BUCHANAN is at the front of Order Line 1 and is now placing order.
 2:01 PM:  BERNARDINE SUMEY received all items, paid $15.06, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 2:01 PM:  WILLOW NUNO arrived at FSC Chick-fil-A and entered Order Line 3.
 2:02 PM:  ANDREW BUCHANAN received all items, paid $13.52, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 2:02 PM:  RODERICK OBERDORF received all items, paid $23.28, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 2:02 PM:  WILLOW NUNO is at the front of Order Line 3 and is now placing order.
 2:03 PM:  BUNNY VANTUYLE is at the front of Order Line 1 and is now placing order.
 2:03 PM:  PATIENCE DACUNHA is at the front of Order Line 2 and is now placing order.
 2:03 PM:  WILLOW NUNO received all items, paid $27.16, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 2:04 PM:  MARIELLA ACHILLE arrived at FSC Chick-fil-A and entered Order Line 3.
 2:05 PM:  BUNNY VANTUYLE received all items, paid $7.15, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 2:05 PM:  MARIELLA ACHILLE is at the front of Order Line 3 and is now placing order.
 2:05 PM:  EDITH BOLDUE arrived at FSC Chick-fil-A and entered Order Line 1.
 2:06 PM:  EDITH BOLDUE is at the front of Order Line 1 and is now placing order.
 2:06 PM:  IDELLA WARRILOW arrived at FSC Chick-fil-A and entered Order Line 1.
 2:07 PM:  PATIENCE DACUNHA received all items, paid $29.65, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 2:08 PM:  MARGARETT GIRONE arrived at FSC Chick-fil-A and entered Order Line 2.
 2:09 PM:  MARGARETT GIRONE is at the front of Order Line 2 and is now placing order.
 2:10 PM:  MARIELLA ACHILLE received all items, paid $44.80, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 2:10 PM:  DIERDRE DROZE arrived at FSC Chick-fil-A and entered Order Line 3.
 2:11 PM:  EDITH BOLDUE received all items, paid $32.52, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 2:11 PM:  DIERDRE DROZE is at the front of Order Line 3 and is now placing order.
 2:11 PM:  KATHLENE KOESTNER arrived at FSC Chick-fil-A and entered Order Line 1.
 2:12 PM:  IDELLA WARRILOW is at the front of Order Line 1 and is now placing order.
 2:12 PM:  MARGARETT GIRONE received all items, paid $26.00, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
 2:13 PM:  DIERDRE DROZE received all items, paid $9.59, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
 2:13 PM:  ZITA MESSORE arrived at FSC Chick-fil-A and entered Order Line 2.
 2:14 PM:  IDELLA WARRILOW received all items, paid $50.33, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 2:14 PM:  ZITA MESSORE is at the front of Order Line 2 and is now placing order.
 2:15 PM:  KATHLENE KOESTNER is at the front of Order Line 1 and is now placing order.
 2:15 PM:  LORENZA TITLER arrived at FSC Chick-fil-A and entered Order Line 3.
 2:16 PM:  KATHLENE KOESTNER received all items, paid $1.59, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
 2:16 PM:  LORENZA TITLER is at the front of Order Line 3 and is now placing order.
 2:16 PM:  MARIA BURROWES arrived at FSC Chick-fil-A and entered Order Line 1.
 2:16 PM:  DORETHA MADERIOS arrived at FSC Chick-fil-A and entered Order Line 1.
 2:17 PM:  MARIA BURROWES is at the front of Order Line 1 and is now placing order.
